runtime,metric,result
runc,PING_INLINE,30525.03
runc,PING_BULK,30293.85
runc,SET,30257.19
runc,GET,30312.21
runc,INCR,30525.03
runc,LPUSH,30712.53
runc,RPUSH,30459.95
runc,LPOP,30367.45
runc,RPOP,30665.44
runc,SADD,30030.03
runc,HSET,30656.04
runc,SPOP,29940.12
runc,LRANGE_100,24224.81
runc,LRANGE_300,14302.06
runc,LRANGE_500,11728.83
runc,LRANGE_600,9900.99
runc,MSET,30120.48
runsc,PING_INLINE,14528.55
runsc,PING_BULK,15627.44
runsc,SET,15403.57
runsc,GET,15325.67
runsc,INCR,15269.51
runsc,LPUSH,15172.2
runsc,RPUSH,15117.16
runsc,LPOP,15257.86
runsc,RPOP,15188.33
runsc,SADD,15432.1
runsc,HSET,15163.0
runsc,SPOP,15561.78
runsc,LRANGE_100,13365.41
runsc,LRANGE_300,9520.18
runsc,LRANGE_500,8248.78
runsc,LRANGE_600,6544.07
runsc,MSET,14367.82
